filename,growth_stage,damage,extent
L427F01330C01S03961Rp02052.jpg,S,WD,0
L1083F00930C39S12674Ip.jpg,V,G,0
24_initial_1_1463_1463.JPG,V,G,0
L341F00167C01S00324Rp14178.jpg,M,DR,60
L1084F02394C39S13931Ip.jpg,V,G,0
L361F02347C01S10018Rp27925.jpg,F,G,0
L1122F02114C01S09921Rp29452.jpg,M,WD,0
L321F03728C01S07028Rp24013.jpg,M,G,0
L133F00737C01S06945Rp25674.jpg,F,DR,60
L231F02301C41S13792Rp36019.jpg,S,G,0
L141F00095C01S07755Rp23002.jpg,M,WD,0
L415F01160C39S14146Rp41363.jpg,S,G,0
L426F04418C01S09360Rp20052.jpg,S,WD,0
L1084F02394C01S03378Rp09620.jpg,M,WD,0
L354F03984C39S13380Ip.jpg,V,WD,0
L125F00650C01S13584Rp40732.jpg,V,G,0
L121F02771C39S12919Rp34790.jpg,V,G,0
L325F01429C01S07301Rp19436.jpg,V,WD,0
L432F01720C01S04931Rp13768.jpg,M,DR,20
L121F00604C01S09000Rp18923.jpg,V,G,0
L315F03220C01S02273Rp03569.jpg,V,WD,0
L314F00138C01S03486Rp14927.jpg,M,ND,0
L133F03014C01S00293Rp10017.jpg,M,DR,50
L398F00102C01S01131Rp13276.jpg,M,DR,50
L1094F01464C39S11542Rp32689.jpg,V,G,0
L242F01471C03S08179Rp15549.jpg,S,WD,0
217_repeat_2_2052_1319_1028.JPG,F,G,0
L134F00780C01S09773Rp27555.jpg,V,DR,30
L406F00362C01S14389Rp40939.jpg,S,WD,0
L1093F01115C39S11718Rp41966.jpg,M,G,0
L231F02008C41S13013Rp39518.jpg,V,G,0
L311F00639C39S13098Rp38984.jpg,M,WD,0
L1133F01269C39S12415Rp40060.jpg,M,G,0
L331F04174C01S04288Rp03813.jpg,F,G,0
L435F02450C41S14776Rp42988.jpg,V,G,0
L134F00762C01S05370Rp14099.jpg,M,DR,70
70_repeat_2_2055_5456_3839.JPG,M,ND,0
L1094F03163C39S11589Rp41682.jpg,M,DR,40
L1083F00308C39S12945Rp35789.jpg,F,G,0
L121F01775C01S02440Ip.jpg,V,WD,0
L406F04313C01S07770Rp18436.jpg,V,G,0
L376F01092C39S14511Rp44384.jpg,V,WD,0
L361F03008C01S09322Rp29381.jpg,F,G,0
222_repeat_2_1817_5416_3797.JPG,M,DS,0
L354F03934C01S09629Rp16980.jpg,V,G,0
L144F01423C01S08606Rp21963.jpg,F,WD,0
L134F00875C39S14272Rp43033.jpg,F,WD,0
L1089F03143C01S08323Rp30596.jpg,M,DR,10
L1136F02414C39S11646Rp36950.jpg,M,DR,30
L354F00387C01S02826Rp01648.jpg,V,WD,0
L141F01256C01S08622Rp29455.jpg,M,DR,20
L376F01618C39S12388Rp34959.jpg,S,G,0
L406F01517C01S08370Rp27460.jpg,F,DR,20
L222F02261C39S13996Rp42427.jpg,M,G,0
L1116F03574C39S12546Rp39447.jpg,F,G,0
L365F00189C01S09121Rp24560.jpg,V,WD,0
L121F02084C01S06857Rp23829.jpg,F,G,0
L1142F00043C20S10663Rp17811.jpg,V,WD,0
L1094F00929C39S11583Ip.jpg,V,WD,0
L144F00098C01S01085Rp08826.jpg,F,G,0
188_repeat_2_1470_5925_4270.JPG,M,DS,0
L1094F04314C01S07058Rp31680.jpg,M,G,0
L1153F04303C39S11884Rp40163.jpg,F,DR,50
L341F01510C01S06871Rp26345.jpg,M,G,0
L134F00749C01S07411Rp16240.jpg,V,G,0
L121F01244C01S07151Rp28708.jpg,M,G,0
L314F03155C01S04397Rp06192.jpg,F,WD,0
L134F04019C01S05264Ip.jpg,V,WD,0
L1125F01747C01S09378Rp22272.jpg,V,G,0
L144F01202C39S12513Ip.jpg,S,G,0
L1150F01773C39S12209Rp34532.jpg,F,G,0
201_repeat_2_1382_6311_4680.JPG,M,DR,10
L331F04183C01S04229Rp05703.jpg,F,G,0
L121F00594C01S04301Rp10846.jpg,F,G,0
L342F01050C01S01595Rp12743.jpg,M,WD,0
L398F02556C01S08229Rp21943.jpg,V,WD,0
L342F02120C01S03404Rp07154.jpg,F,G,0
L144F01437C39S12514Rp48970.jpg,M,DR,50
L1094F01169C01S07720Rp22987.jpg,V,G,0
L1083F01047C39S12109Ip.jpg,V,G,0
L1116F00495C01S01545Rp03109.jpg,V,WD,0
L325F03156C01S06993Rp16271.jpg,F,WD,0
L376F03290C01S07152Rp16523.jpg,V,G,0
L141F01498C01S02363Rp07162.jpg,V,G,0
L1123F01789C39S11935Rp33851.jpg,V,G,0
L144F02485C39S13946Ip.jpg,S,G,0
L1125F00268C01S04028Ip.jpg,F,G,0
L429F01328C01S08197Rp24016.jpg,F,WD,0
L113F02080C01S10062Rp30621.jpg,F,G,0
L331F04184C01S04290Rp01661.jpg,V,G,0
L331F04175C01S06923Rp27677.jpg,M,DR,40
L435F01186C01S07904Rp26845.jpg,S,G,0
L371F00121C39S13209Rp49267.jpg,S,G,0
L321F01949C01S07143Rp27019.jpg,M,DR,40
L432F00214C01S01648Rp06954.jpg,V,WD,0
L131F03895C01S07353Rp24537.jpg,V,DR,60
L398F01059C39S13297Ip.jpg,S,G,0
L1122F00533C01S09660Rp16079.jpg,S,WD,0
L398F02597C39S12758Rp39572.jpg,V,G,0
L1083F03076C39S12151Rp33911.jpg,F,WD,0
L1137F01579C39S12767Ip.jpg,V,G,0
L321F03227C42S14909Ip.jpg,V,G,0
L331F04062C01S04428Rp10542.jpg,F,G,0
L342F02118C39S14040Rp47818.jpg,M,DR,40
L1084F00580C01S07955Rp23495.jpg,V,G,0
L131F03894C39S12691Rp47664.jpg,V,WD,0
L406F02765C01S14630Ip.jpg,S,G,0
L134F00762C01S05370Ip.jpg,V,G,0
L1123F02982C20S10579Rp17996.jpg,V,WD,0
L354F00296C01S02546Rp09059.jpg,F,WD,0
L371F00109C39S12865Ip.jpg,S,G,0
L314F00516C39S12491Rp49038.jpg,M,DR,50
L1115F02203C01S09084Rp27573.jpg,F,G,0
L1153F02240C01S01054Rp07198.jpg,M,DR,80
L121F03458C39S12904Rp39452.jpg,V,G,0
L133F03014C01S06954Rp25828.jpg,V,DR,40
L1084F01962C39S11538Rp32513.jpg,V,WD,0
L426F00475C40S14969Rp47752.jpg,M,DR,70
201_repeat_2_1461_5090_3419.JPG,F,WD,0
L122F00077C39S13027Rp36890.jpg,V,G,0
L1083F02201C01S08088Rp15489.jpg,S,G,0
L341F01802C39S12263Rp45219.jpg,M,WD,0
L430F02462C39S14096Ip.jpg,S,G,0
L361F00187C39S14462Rp34387.jpg,V,WD,0
L134F00884C39S14252Rp42484.jpg,F,G,0
L1150F01046C01S03069Rp06686.jpg,M,DR,90
L323F01835C01S00286Rp07051.jpg,V,WD,0
L341F00366C01S06863Rp18347.jpg,V,PS,0
L355F00184C40S12199Rp46245.jpg,M,G,0
L371F00131C39S14373Ip.jpg,S,G,0
